
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.51
2                      17.90
4                      18.02
8                      19.00
16                     22.07
32                     23.82
64                     28.43
128                    38.43
256                    63.83
512                   117.34
1024                  219.63
2048                  425.34
4096                  823.38
8192                 1612.16
16384                3159.44
32768                6330.40
65536               12695.47
131072              25208.39
262144              50343.68
524288              98326.06
1048576            196065.83
