
# OSU MPI Allreduce Latency Test v5.6.2
# Size       Avg Latency(us)
4                       4.01
8                       3.91
16                      4.02
32                      4.55
64                      4.92
128                     5.46
256                     7.84
512                    11.54
1024                   17.71
2048                   28.07
4096                   52.62
8192                   94.65
16384                 143.36
32768                 260.88
65536                 487.76
131072                939.23
262144               1844.27
524288               3712.56
1048576              7377.75
