
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.84
2                      43.79
4                      44.66
8                      48.93
16                     51.67
32                     57.43
64                     68.68
128                   103.65
256                   212.47
512                   238.93
1024                  331.57
2048                  570.90
4096                 1135.86
8192                 2194.83
16384                4606.50
32768                8069.23
65536               16249.02
131072              32193.37
262144              59666.57
524288             113468.20
1048576            221031.92
