# OSU MPI Bi-Directional Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       0.06
2                       0.12
4                       0.24
8                       0.49
16                      0.97
32                      1.95
64                      3.90
128                     7.80
256                    15.60
512                    31.20
1024                   62.40
2048                  124.81
4096                  249.63
8192                 6660.37
16384                 849.51
32768                1202.58
65536                1196.25
131072               1255.88
262144               8415.00
524288              11266.61
1048576             13047.27
2097152             12959.39
4194304             13428.01
