# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       0.82
2                       2.72
4                       5.45
8                       7.22
16                     21.57
32                     43.21
64                     87.16
128                   173.46
256                   334.13
512                   659.57
1024                 1241.90
2048                 2330.85
4096                 4173.52
8192                 6269.70
16384                6609.03
32768                7990.32
65536                9067.40
131072               8947.03
262144               9915.55
524288              10579.47
1048576             10865.80
2097152             10491.91
4194304             10329.53
