# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       1.50
1                       1.50
2                       1.50
4                       1.51
8                       1.50
16                      1.50
32                      1.51
64                      1.53
128                     1.58
256                     1.98
512                     2.09
1024                    2.27
2048                    2.69
4096                    3.53
8192                    4.95
16384                   8.06
32768                  10.37
65536                  14.79
131072                 23.81
262144                 71.66
524288                107.19
1048576               178.11
2097152               334.58
4194304               642.53
