# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 32 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      39.52       39515070.50
2                      79.91       39956741.34
4                     167.90       41975222.67
8                     305.43       38178722.00
16                    659.52       41219907.61
32                   1321.02       41282029.64
64                   2554.36       39911836.53
128                  5029.09       39289798.93
256                  6616.47       25845580.10
512                  8713.96       17019461.18
1024                10773.38       10520881.75
2048                11904.28        5812636.83
4096                12093.80        2952588.87
8192                12249.72        1495327.21
16384               12219.74         745833.49
32768               12294.87         375209.60
65536               12327.28         188099.43
131072              12336.10          94116.96
262144              12396.24          47287.92
524288              12390.92          23633.80
1048576             12395.35          11821.13
2097152             12400.55           5913.04
4194304             12399.35           2956.24
