# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 32 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      35.29       35285469.55
2                      78.51       39253454.68
4                     153.20       38299717.03
8                     306.13       38266194.81
16                    659.21       41200775.48
32                   1351.42       42231840.45
64                   2597.01       40578229.14
128                  5027.47       39277097.05
256                  6542.26       25555718.48
512                  8738.73       17067841.47
1024                10762.82       10510565.70
2048                11899.85        5810472.07
4096                12094.42        2952740.01
8192                12253.32        1495766.63
16384               12226.55         746249.39
32768               12288.71         375021.59
65536               12327.62         188104.49
131072              12336.33          94118.70
262144              12391.96          47271.59
524288              12391.94          23635.74
1048576             12397.91          11823.57
2097152             12402.58           5914.01
4194304             12397.44           2955.78
