# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       2.69        2691087.53
2                       5.41        2707093.62
4                      10.71        2678229.68
8                      21.65        2706306.83
16                     43.31        2706653.26
32                     86.41        2700383.34
64                    172.49        2695164.70
128                   341.90        2671096.12
256                   645.22        2520386.67
512                  1244.38        2430435.74
1024                 2322.98        2268538.16
2048                 4102.69        2003268.36
4096                 6838.60        1669580.76
8192                 9882.44        1206352.26
16384               10836.92         661433.23
32768               11732.62         358051.19
65536               11936.43         182135.42
131072              11732.13          89509.07
262144              11871.34          45285.55
524288              11940.37          22774.45
1048576             12124.23          11562.57
2097152             12180.14           5807.94
4194304             12085.65           2881.44
