
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.13
2                       6.03
4                      15.64
8                       6.88
16                      7.94
32                      8.93
64                     11.68
128                    19.69
256                    33.75
512                    60.50
1024                   75.96
2048                  125.99
4096                  238.41
8192                  533.38
16384                1391.13
32768                3713.48
65536                9149.08
131072              12864.11
262144              25594.68
524288              53584.47
1048576            104468.55
