
# OSU MPI Allreduce Latency Test v5.6.2
# Size       Avg Latency(us)
4                       5.47
8                       5.89
16                      5.39
32                      6.84
64                      8.40
128                     9.07
256                    10.06
512                    11.72
1024                   15.07
2048                   20.93
4096                   35.68
8192                   64.50
16384                 158.16
32768                 201.22
65536                 256.17
131072                346.44
262144                596.92
524288               1258.59
1048576              3730.69
