
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      32.59
2                      32.65
4                      32.54
8                      33.01
16                     34.30
32                     36.62
64                     40.22
128                    51.68
256                    76.90
512                   149.61
1024                  186.13
2048                  220.12
4096                  496.77
8192                 1017.54
16384                2701.56
32768                6737.93
65536               13857.90
131072              27758.58
262144              30008.82
524288              61396.55
1048576            122509.64
