# OSU MPI Bi-Directional Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       9.84
2                      17.85
4                      34.27
8                      72.01
16                    140.31
32                    255.53
64                    507.11
128                  1006.61
256                   709.57
512                  1323.75
1024                 4561.27
2048                 8168.58
4096                13489.13
8192                17613.69
16384               18705.82
32768               19128.90
65536               19986.61
131072              20458.50
262144              20579.30
524288              20745.51
1048576             20930.11
2097152             20900.17
4194304             20799.10
