# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       7.53
2                      15.07
4                      30.17
8                      60.44
16                    120.93
32                    236.16
64                    463.83
128                   883.61
256                  1344.75
512                  2272.33
1024                 3644.06
2048                 7309.20
4096                 9660.55
8192                10929.13
16384               11481.34
32768               11684.79
65536               11925.27
131072              12055.02
262144              12122.59
524288              12158.47
1048576             12171.87
2097152             12160.47
4194304             12164.86
