# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       1.00
1                       1.02
2                       1.02
4                       1.02
8                       1.02
16                      1.03
32                      1.10
64                      1.15
128                     1.22
256                     1.69
512                     1.81
1024                    2.04
2048                    2.39
4096                    3.17
8192                    4.43
16384                   6.09
32768                   8.01
65536                  11.25
131072                 17.42
262144                 25.99
524288                 47.78
1048576                91.87
2097152               178.97
4194304               351.21
