# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 32 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      68.85       68847121.77
2                     162.41       81204278.68
4                     325.36       81338898.64
8                     648.77       81095628.47
16                   1300.22       81263828.11
32                   2601.64       81301251.74
64                   3044.25       47566334.85
128                  3823.02       29867314.49
256                  5580.83       21800110.75
512                  7980.86       15587614.55
1024                10181.57        9942944.01
2048                11616.26        5672004.29
4096                11869.18        2897749.37
8192                11965.11        1460584.25
16384               12000.84         732473.09
32768               11948.82         364648.91
65536               11203.39         170950.19
131072              12041.46          91869.07
262144              12046.42          45953.43
524288              12048.51          22980.72
1048576             12049.68          11491.47
2097152             12050.19           5745.98
4194304             12050.50           2873.06
