# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 4 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      22.87       22868572.04
2                      49.03       24517104.03
4                      98.88       24719378.33
8                     197.52       24689589.89
16                    395.06       24691560.45
32                    754.12       23566147.23
64                   1447.09       22610801.21
128                  2760.95       21569883.05
256                  4055.61       15842216.47
512                  7097.50       13862308.56
1024                10193.12        9954214.50
2048                12179.60        5947071.76
4096                11886.51        2901979.82
8192                12065.05        1472783.96
16384               12036.56         734653.43
32768               12024.85         366969.24
65536               12029.00         183547.93
131072              12015.30          91669.50
262144              12007.32          45804.30
524288              12002.82          22893.56
1048576             12074.74          11515.37
2097152             12074.23           5757.44
4194304             12074.60           2878.81
