# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       7.77        7770790.81
2                      15.76        7881870.47
4                      31.85        7963586.50
8                      62.93        7866727.80
16                    128.24        8015238.97
32                    252.08        7877553.28
64                    451.49        7054595.96
128                   869.44        6792533.73
256                  1333.63        5209499.20
512                  2296.08        4484531.17
1024                 3609.59        3524989.98
2048                 7120.22        3476668.03
4096                 9375.14        2288852.47
8192                10599.39        1293871.34
16384               11209.55         684176.89
32768               11598.64         353962.47
65536               11838.05         180634.35
131072              11949.89          91170.39
262144              12011.29          45819.45
524288              12042.22          22968.71
1048576             12057.97          11499.38
2097152             12064.90           5752.99
4194304             12069.25           2877.53
