
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.49
2                      18.93
4                      19.44
8                      20.53
16                     24.01
32                     28.31
64                     37.79
128                    68.90
256                   121.25
512                   234.99
1024                  458.89
2048                  426.29
4096                  828.32
8192                 1635.40
16384                3192.75
32768                6374.46
65536               12907.33
131072              25325.87
262144              50811.92
524288             100233.86
1048576            200423.71
