
# OSU MPI Allreduce Latency Test v5.6.2
# Size       Avg Latency(us)
4                       5.11
8                       5.09
16                      5.14
32                      5.66
64                      5.99
128                     6.92
256                     9.11
512                    12.02
1024                   17.82
2048                   29.83
4096                   54.02
8192                   98.26
16384                 145.39
32768                 262.77
65536                 499.35
131072                967.86
262144               1946.83
524288               3918.88
1048576              7676.76
