
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.93
2                      52.66
4                      50.15
8                      55.54
16                     57.80
32                     63.47
64                     80.41
128                   140.71
256                   228.44
512                   295.81
1024                  467.34
2048                  852.83
4096                 1668.68
8192                 3536.70
16384                8084.58
32768               14969.58
65536               27381.49
131072              53334.25
262144             110502.87
524288             214658.57
1048576            422000.93
