# OSU MPI Bi-Directional Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       0.06
2                       0.12
4                       0.24
8                       0.49
16                      0.98
32                      1.95
64                      3.90
128                     7.80
256                    15.60
512                    31.20
1024                   62.40
2048                  124.80
4096                 4214.17
8192                 4905.69
16384                5304.48
32768                5705.43
65536                5821.58
131072               5967.35
262144               4092.62
524288               4774.40
1048576              5080.20
2097152              5153.67
4194304              5326.14
