# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       1.43
2                       2.88
4                       5.74
8                      11.50
16                     22.99
32                     45.80
64                     91.60
128                   182.33
256                   354.63
512                   692.93
1024                 1323.83
2048                 2277.18
4096                 2552.77
8192                 2772.10
16384                2881.11
32768                2963.09
65536                3007.07
131072               3029.14
262144               2809.58
524288               2910.46
1048576              2957.30
2097152              2954.66
4194304              2932.93
