# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       2.69
1                       2.70
2                       2.69
4                       2.70
8                       2.69
16                      2.70
32                      2.72
64                      2.76
128                     2.82
256                     3.33
512                     3.50
1024                    4.10
2048                    4.97
4096                    7.08
8192                    9.61
16384                  14.85
32768                  20.22
65536                  31.50
131072                 53.56
262144                145.83
524288                244.95
1048576               450.96
2097152               862.96
4194304              1680.81
