# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 32 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      20.92       20919885.94
2                      41.54       20768150.47
4                      83.12       20780529.98
8                     162.12       20265508.35
16                    307.57       19223318.13
32                    561.39       17543563.44
64                    951.55       14868038.59
128                  1461.93       11421333.57
256                  1986.06        7758065.10
512                  2430.01        4746118.52
1024                 2735.58        2671460.21
2048                 2919.55        1425563.36
4096                 2960.67         722820.11
8192                 3011.27         367586.35
16384                3025.87         184684.36
32768                3038.94          92741.09
65536                3045.45          46469.83
131072               3048.72          23259.91
262144               3061.68          11679.40
524288               3062.75           5841.74
1048576              3063.37           2921.46
2097152              3064.02           1461.04
4194304              3064.33            730.59
