# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 2 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       2.63        2633367.02
2                       5.26        2627718.00
4                      10.41        2601469.80
8                      21.05        2631645.07
16                     42.02        2626285.44
32                     83.93        2622862.27
64                    166.88        2607444.62
128                   333.76        2607486.67
256                   625.07        2441661.08
512                  1196.83        2337561.35
1024                 2227.60        2175395.33
2048                 2905.88        1418886.67
4096                 2958.88         722383.40
8192                 3008.22         367214.66
16384                3024.01         184570.62
32768                3039.86          92769.14
65536                3046.48          46485.55
131072               3048.36          23257.13
262144               3013.65          11496.17
524288               2954.44           5635.15
1048576              3061.73           2919.89
2097152              3062.30           1460.22
4194304              3077.31            733.69
