# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.44        1436898.05
2                       2.87        1436734.62
4                       5.74        1434607.47
8                      11.51        1438412.71
16                     22.98        1436439.11
32                     46.02        1438017.19
64                     91.47        1429228.46
128                   182.58        1426376.39
256                   355.79        1389786.70
512                   694.35        1356155.75
1024                 1335.36        1304061.99
2048                 2297.37        1121763.83
4096                 2564.54         626107.81
8192                 2776.86         338972.64
16384                2886.30         176165.64
32768                2966.05          90516.51
65536                3008.30          45902.94
131072               3029.67          23114.53
262144               2788.18          10636.06
524288               2889.01           5510.36
1048576              2942.58           2806.27
2097152              2912.99           1389.02
4194304              2932.86            699.25
