
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.67
2                       6.98
4                       7.96
8                      12.38
16                     10.96
32                     14.56
64                     21.54
128                    47.52
256                    92.76
512                   160.55
1024                   96.72
2048                  150.34
4096                  265.39
8192                  586.16
16384                1316.57
32768                3678.36
65536                9196.70
131072              12464.65
262144              24778.65
524288              50104.08
1048576             97602.51
