
# OSU MPI Allreduce Latency Test v5.6.2
# Size       Avg Latency(us)
4                       6.13
8                       6.07
16                      7.24
32                      7.20
64                      8.03
128                    10.00
256                    11.70
512                    14.33
1024                   19.70
2048                   28.62
4096                   61.24
8192                  134.94
16384                 153.41
32768                 195.00
65536                 257.07
131072                352.34
262144                624.67
524288               1263.42
1048576              3677.27
