
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.87
2                      35.29
4                      34.86
8                      34.90
16                     37.28
32                     42.81
64                     60.43
128                    96.61
256                   143.94
512                   208.90
1024                  356.91
2048                  640.58
4096                 1456.62
8192                 2877.72
16384                6060.65
32768               12436.04
65536               24429.67
131072              48766.94
262144              88784.31
524288             177258.92
1048576            354222.88
