# OSU MPI Bi-Directional Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       9.18
2                      17.78
4                      34.86
8                      73.74
16                    145.43
32                    269.57
64                    540.04
128                  1000.00
256                   447.65
512                  2821.89
1024                 4338.37
2048                 5042.94
4096                 5405.98
8192                 5719.40
16384                5868.35
32768                5912.48
65536                5956.25
131072               5973.82
262144               5981.74
524288               5985.85
1048576              6115.48
2097152              6121.45
4194304              6124.25
