# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       5.30
2                      10.69
4                      21.41
8                      42.73
16                     85.37
32                    169.29
64                    337.97
128                   648.36
256                  1072.86
512                  1709.88
1024                 2195.75
2048                 2557.36
4096                 2723.45
8192                 2871.21
16384                2955.66
32768                2989.19
65536                3007.99
131072               3017.49
262144               3022.29
524288               3024.93
1048576              3061.47
2097152              3062.55
4194304              3063.09
