# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       1.38
1                       1.38
2                       1.38
4                       1.37
8                       1.38
16                      1.39
32                      1.43
64                      1.48
128                     1.58
256                     2.08
512                     2.29
1024                    2.79
2048                    3.72
4096                    5.66
8192                    7.92
16384                  10.56
32768                  16.03
65536                  26.95
131072                 48.86
262144                 92.16
524288                177.92
1048576               349.82
2097152               692.38
4194304              1376.96
