# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 32 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      32.99       32989216.45
2                      65.80       32900439.40
4                     126.60       31650913.76
8                     243.25       30406712.89
16                    453.66       28353668.53
32                    791.24       24726103.02
64                   1274.46       19913510.78
128                  1833.88       14327167.64
256                  2280.49        8908155.19
512                  2639.29        5154870.35
1024                 2864.07        2796939.48
2048                 2988.08        1459022.59
4096                 2996.99         731687.71
8192                 3030.43         369925.16
16384                3040.96         185605.45
32768                3034.11          92593.84
65536                3056.83          46643.57
131072               3060.28          23348.05
262144               3061.95          11680.42
524288               3062.81           5841.85
1048576              3063.24           2921.33
2097152              3063.45           1460.77
4194304              3063.56            730.41
