# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 16 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      33.33       33330065.56
2                      65.71       32854324.74
4                     126.15       31537322.23
8                     242.57       30321596.58
16                    449.50       28093473.08
32                    786.36       24573611.32
64                   1256.69       19635756.01
128                  1799.09       14055385.77
256                  2280.30        8907414.45
512                  2639.82        5155889.08
1024                 2863.36        2796252.92
2048                 2987.58        1458780.84
4096                 2999.40         732274.63
8192                 3032.79         370213.74
16384                3040.66         185586.88
32768                3034.10          92593.52
65536                3056.84          46643.62
131072               3060.26          23347.95
262144               3061.98          11680.54
524288               3062.84           5841.91
1048576              3063.27           2921.36
2097152              3063.48           1460.78
4194304              3063.58            730.42
