# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.2
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      33.65       33647709.96
2                      65.18       32589845.65
4                     125.31       31326662.75
8                     241.40       30174397.11
16                    450.96       28184921.99
32                    785.81       24556669.97
64                   1256.73       19636441.07
128                  1792.42       14003301.03
256                  2282.61        8916438.90
512                  2639.83        5155923.58
1024                 2863.74        2796618.65
2048                 2989.93        1459926.65
4096                 3008.37         734465.85
8192                 3029.91         369861.79
16384                3041.70         185650.49
32768                3034.22          92597.11
65536                3030.78          46245.97
131072               3060.30          23348.26
262144               3061.99          11680.57
524288               3062.84           5841.91
1048576              3063.27           2921.37
2097152              3063.48           1460.78
4194304              3063.59            730.42
