
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                       5.26
2                       5.31
4                       5.63
8                       6.56
16                      7.46
32                      9.98
64                     11.88
128                    19.08
256                    31.71
512                    50.56
1024                   74.45
2048                  106.88
4096                  183.15
8192                  357.84
16384                 714.15
32768                1444.41
65536                3163.82
131072              12176.47
262144              24689.28
524288              49113.13
1048576             98380.72
