
# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                       5.23
8                       5.17
16                      5.10
32                      6.28
64                      6.64
128                     8.16
256                     8.92
512                    10.04
1024                   13.93
2048                   17.80
4096                   29.36
8192                   51.77
16384                 118.03
32768                 138.46
65536                 200.77
131072                252.32
262144                407.12
524288                771.49
1048576              1570.95
