
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      19.55
2                      19.63
4                      20.03
8                      20.87
16                     22.49
32                     23.90
64                     27.66
128                    38.96
256                    59.22
512                    73.47
1024                  116.82
2048                  214.34
4096                  434.83
8192                  814.41
16384                1587.16
32768                3351.27
65536                6689.21
131072              12677.33
262144              33851.21
524288              68533.59
1048576            139197.03
