# OSU MPI Bi-Directional Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                      10.07
2                      19.95
4                      39.84
8                      83.88
16                    163.01
32                    287.95
64                    559.43
128                  1086.23
256                   831.06
512                  2869.10
1024                 4630.00
2048                 9310.13
4096                15538.47
8192                19930.53
16384               21519.60
32768               20681.70
65536               22968.39
131072              23856.44
262144              24237.56
524288              24416.42
1048576             24508.22
2097152             24583.69
4194304             24601.60
