# OSU MPI Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                       6.52
2                      13.26
4                      25.68
8                      52.36
16                    105.64
32                    210.11
64                    389.82
128                   779.84
256                  1416.76
512                  2715.40
1024                 4615.44
2048                 6283.74
4096                 8932.40
8192                10433.63
16384               11196.51
32768               11047.39
65536               12057.86
131072              12200.28
262144              12230.27
524288              12279.13
1048576             12317.21
2097152             12319.60
4194304             12316.84
