# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       0.98
1                       0.98
2                       0.97
4                       0.97
8                       0.97
16                      0.97
32                      1.02
64                      1.08
128                     1.12
256                     1.35
512                     1.42
1024                    1.60
2048                    2.21
4096                    3.03
8192                    4.26
16384                   5.89
32768                   8.21
65536                  11.29
131072                 17.41
262144                 27.39
524288                 48.71
1048576                91.71
2097152               176.54
4194304               346.79
