# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.3
# [ pairs: 56 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      63.47       63471533.68
2                     130.17       65085394.41
4                     233.62       58403959.58
8                     562.02       70252484.17
16                   1050.65       65665748.23
32                   2173.63       67925900.19
64                   1324.47       20694848.17
128                  1742.10       13610117.99
256                  4951.30       19341008.71
512                  7370.56       14395619.16
1024                 9380.58        9160718.71
2048                11346.38        5540225.80
4096                11686.11        2853053.45
8192                12028.29        1468296.74
16384               12083.78         737535.65
32768               12172.52         371475.70
65536               12242.40         186804.24
131072              12265.87          93581.18
262144              12276.10          46829.60
524288              12269.21          23401.66
1048576             12289.17          11719.86
2097152             12295.96           5863.17
4194304             12297.38           2931.92
