# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.3
# [ pairs: 16 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      99.40       99402293.21
2                     193.42       96707972.96
4                     394.20       98550588.90
8                     788.19       98524005.34
16                   1601.34      100083823.55
32                   2257.64       70551288.58
64                   4376.03       68375518.50
128                  6685.95       52233977.43
256                  8276.51       32330113.36
512                 10226.86       19974340.75
1024                11771.46       11495566.59
2048                12195.75        5954956.19
4096                12174.57        2972308.33
8192                12248.53        1495182.13
16384               12201.77         744736.66
32768               12220.10         372927.84
65536               12290.97         187545.30
131072              12320.91          94001.11
262144              12339.79          47072.56
524288              12343.03          23542.47
1048576             12344.15          11772.30
2097152             12345.38           5886.74
4194304             12345.60           2943.42
