[0] MPI startup(): I_MPI_OFA_TRANSLATION_CACHE variable has been removed from the product, its value is ignored

src,dst,lat(us),bandwidth((Mbytes/sec)
0,1,1.04,12015.953042 
0,2,1.03,12026.346094 
0,3,1.03,12032.193862 
0,4,1.03,12024.814405 
0,5,1.03,12022.304177 
0,6,1.03,12018.223283 
0,7,1.03,12025.878839 
0,8,1.03,12027.560163 
0,9,1.03,12023.124220 
0,10,1.03,12016.369830 
0,11,1.03,12019.265701 
0,12,1.03,12019.645828 
0,13,1.03,12029.200187 
0,14,1.02,12016.039604 
0,15,1.03,12027.511981 
0,16,1.03,12024.565582 
0,17,1.04,12020.534487 
0,18,1.03,12030.294321 
0,19,1.03,12002.363981 
0,20,1.03,12026.715428 
0,21,1.03,12020.985284 
0,22,1.02,12027.553739 
0,23,1.03,12018.790978 
0,24,1.03,12022.678077 
0,25,1.03,12023.570395 
0,26,1.03,12022.028181 
0,27,1.03,12027.974544 
0,28,1.02,12026.000868 
0,29,1.03,12021.792310 
0,30,1.03,12026.288287 
0,31,1.03,12033.584347 
0,32,1.12,12025.040762 
0,33,1.03,12024.689190 
0,34,1.03,12024.207617 
0,35,1.03,11990.625041 
0,36,1.03,12027.367437 
0,37,1.03,12031.608829 
0,38,1.03,11961.007017 
0,39,1.04,12025.334557 
0,40,1.04,12025.214148 
0,41,1.03,12023.186811 
0,42,1.03,12032.380313 
0,43,1.04,12034.705006 
0,44,1.03,12013.387228 
0,45,1.03,12019.360329 
0,46,1.03,12025.536851 
0,47,1.03,12019.206359 
0,48,1.03,12031.121881 
0,49,1.02,12032.725906 
0,50,1.03,12028.384135 
0,51,1.03,12028.302214 
0,52,1.03,12030.884046 
0,53,1.03,12024.658689 
0,54,1.03,12031.232767 
0,55,1.03,12027.285531 
1,0,1.03,12033.341592 
1,2,1.03,12041.848683 
1,3,1.02,12043.148005 
1,4,1.02,12037.389326 
1,5,1.02,12041.209590 
1,6,1.02,12040.641385 
1,7,1.02,12048.720398 
1,8,1.02,12045.004897 
1,9,1.02,12047.092772 
1,10,1.02,12052.976867 
1,11,1.02,12043.073935 
1,12,1.02,12033.909107 
1,13,1.03,12037.336239 
1,14,1.02,12044.220520 
1,15,1.01,12047.801783 
1,16,1.02,12043.830785 
1,17,1.02,12040.657481 
1,18,1.01,12044.127110 
1,19,1.03,12037.014511 
1,20,1.02,12046.404788 
1,21,1.02,12041.372174 
1,22,1.02,12043.785693 
1,23,1.02,12039.511574 
1,24,1.02,12043.639148 
1,25,1.02,12041.013207 
1,26,1.02,12037.307283 
1,27,1.02,12044.491094 
1,28,1.03,12045.926308 
1,29,1.03,12030.662290 
1,30,1.02,12033.053835 
1,31,1.02,12029.376906 
1,32,1.03,12045.531630 
1,33,1.02,12039.698252 
1,34,1.02,12041.141982 
1,35,1.02,12047.505277 
1,36,1.02,12035.988312 
1,37,1.02,12045.579957 
1,38,1.02,12040.820050 
1,39,1.02,12036.498172 
1,40,1.01,12032.417282 
1,41,1.02,12040.815221 
1,42,1.02,12041.892150 
1,43,1.02,12041.045400 
1,44,1.02,12033.323908 
1,45,1.02,12049.887403 
1,46,1.02,12043.119021 
1,47,1.02,12038.034449 
1,48,1.02,12038.708604 
1,49,1.02,12041.689306 
1,50,1.01,12039.955748 
1,51,1.02,12040.874777 
1,52,1.02,12045.095099 
1,53,1.02,12047.639025 
1,54,1.02,12042.117541 
1,55,1.02,12040.424097 
2,0,1.03,12025.180433 
2,1,1.02,12035.793708 
2,3,1.02,12031.628115 
2,4,1.03,12030.030811 
2,5,1.03,12025.621945 
2,6,1.03,12031.536508 
2,7,1.02,12028.358434 
2,8,1.02,12021.460180 
2,9,1.02,12030.054912 
2,10,1.02,12026.943462 
2,11,1.02,12025.355429 
2,12,1.03,12022.904354 
2,13,1.03,12026.357334 
2,14,1.02,12035.583028 
2,15,1.02,12041.183834 
2,16,1.02,12029.942441 
2,17,1.02,12023.416316 
2,18,1.02,12026.142167 
2,19,1.02,12024.777482 
2,20,1.02,12023.928323 
2,21,1.03,12027.176324 
2,22,1.02,12029.392971 
2,23,1.03,12024.857749 
2,24,1.02,12032.229223 
2,25,1.03,12025.257495 
2,26,1.02,12033.928400 
2,27,1.02,12035.299988 
2,28,1.02,12029.367267 
2,29,1.03,12030.061339 
2,30,1.02,12030.646221 
2,31,1.02,12029.879780 
2,32,1.03,12026.877621 
2,33,1.03,12035.341800 
2,34,1.02,12031.039924 
2,35,1.02,12033.590777 
2,36,1.03,12034.311063 
2,37,1.03,12030.821375 
2,38,1.02,12035.740635 
2,39,1.02,12020.690096 
2,40,1.03,12040.100594 
2,41,1.03,12028.247601 
2,42,1.02,12019.209566 
2,43,1.02,12039.851139 
2,44,1.02,12024.905910 
2,45,1.02,12026.790903 
2,46,1.02,12034.007182 
2,47,1.03,12024.384189 
2,48,1.02,12029.339955 
2,49,1.02,12031.779190 
2,50,1.02,12037.604895 
2,51,1.02,12023.488540 
2,52,1.02,12034.412360 
2,53,1.03,12032.394779 
2,54,1.02,12026.444046 
2,55,1.02,12029.637174 
3,0,1.02,12038.052146 
3,1,1.01,12038.837329 
3,2,1.02,12026.596596 
3,4,1.02,12045.169194 
3,5,1.01,12040.092547 
3,6,1.02,12037.527676 
3,7,1.02,12036.835959 
3,8,1.01,12036.104112 
3,9,1.01,12034.947816 
3,10,1.01,12039.852748 
3,11,1.01,12032.385135 
3,12,1.02,12033.494317 
3,13,1.02,12041.117836 
3,14,1.01,12031.946341 
3,15,1.01,12042.816305 
3,16,1.02,12047.339305 
3,17,1.02,12039.289499 
3,18,1.02,12035.541214 
3,19,1.01,12038.578272 
3,20,1.02,12035.792099 
3,21,1.02,12046.432177 
3,22,1.02,12028.580106 
3,23,1.01,12034.568329 
3,24,1.02,12041.803606 
3,25,1.02,12040.322699 
3,26,1.02,12033.532901 
3,27,1.02,12027.319257 
3,28,1.01,12034.058632 
3,29,1.02,12042.568347 
3,30,1.02,12038.505867 
3,31,1.02,12033.920362 
3,32,1.02,12033.960556 
3,33,1.02,12042.943508 
3,34,1.02,12030.970823 
3,35,1.02,12028.970460 
3,36,1.02,12038.439898 
3,37,1.02,12038.650678 
3,38,1.02,12037.846214 
3,39,1.02,12040.488478 
3,40,1.02,12031.494723 
3,41,1.02,12038.536438 
3,42,1.02,12031.366154 
3,43,1.01,12037.003250 
3,44,1.02,12033.053835 
3,45,1.02,12037.098158 
3,46,1.01,12029.309431 
3,47,1.02,12044.444387 
3,48,1.02,12034.026476 
3,49,1.01,12035.028219 
3,50,1.01,12039.938045 
3,51,1.01,12026.362152 
3,52,1.02,12038.351405 
3,53,1.02,12026.285076 
3,54,1.01,12026.429594 
3,55,1.02,12031.438473 
4,0,1.03,12033.193693 
4,1,1.02,12038.999849 
4,2,1.02,12027.650104 
4,3,1.02,12033.124567 
4,5,1.02,12039.892982 
4,6,1.02,12022.347504 
4,7,1.02,12042.462083 
4,8,1.02,12039.094789 
4,9,1.02,12039.598475 
4,10,1.02,12035.909504 
4,11,1.02,12030.074193 
4,12,1.02,12035.948104 
4,13,1.02,12027.934390 
4,14,1.01,12023.876959 
4,15,1.02,12029.627534 
4,16,1.02,12039.717564 
4,17,1.02,12033.854443 
4,18,1.02,12041.761749 
4,19,1.01,12040.459507 
4,20,1.01,12023.965240 
4,21,1.02,12033.938047 
4,22,1.02,12029.298185 
4,23,1.02,12035.116663 
4,24,1.02,12031.282586 
4,25,1.02,12037.939526 
4,26,1.02,12030.721746 
4,27,1.02,12035.098974 
4,28,1.01,12028.514246 
4,29,1.02,12041.586276 
4,30,1.02,12036.340545 
4,31,1.02,12031.231160 
4,32,1.02,12023.289525 
4,33,1.02,12039.611349 
4,34,1.02,12040.966527 
4,35,1.02,12032.650356 
4,36,1.02,12033.288540 
4,37,1.02,12030.096687 
4,38,1.02,12023.738923 
4,39,1.02,12029.025080 
4,40,1.02,12034.052200 
4,41,1.02,12033.475025 
4,42,1.02,12039.479389 
4,43,1.02,12040.100594 
4,44,1.02,12027.528041 
4,45,1.02,12033.820681 
4,46,1.02,12034.624607 
4,47,1.02,12033.965379 
4,48,1.02,12026.000868 
4,49,1.02,12041.644230 
4,50,1.02,12030.940290 
4,51,1.02,12035.152041 
4,52,1.02,12041.286857 
4,53,1.02,12025.530429 
4,54,1.02,12029.368873 
4,55,1.02,12030.064552 
5,0,1.03,12030.077406 
5,1,1.01,12037.799558 
5,2,1.02,12034.201728 
5,3,1.01,12041.018036 
5,4,1.02,12028.213870 
5,6,1.01,12035.279082 
5,7,1.02,12030.365020 
5,8,1.01,12028.668455 
5,9,1.01,12029.330316 
5,10,1.01,12028.464450 
5,11,1.02,12036.290685 
5,12,1.01,12022.053854 
5,13,1.02,12031.509187 
5,14,1.01,12028.899777 
5,15,1.01,12038.840547 
5,16,1.02,12033.754763 
5,17,1.02,12042.066022 
5,18,1.02,12037.962050 
5,19,1.01,12031.843479 
5,20,1.01,12033.794957 
5,21,1.01,12034.023260 
5,22,1.01,12034.491148 
5,23,1.02,12033.487886 
5,24,1.01,12026.749151 
5,25,1.02,12037.292805 
5,26,1.02,12035.747068 
5,27,1.02,12032.018668 
5,28,1.01,12040.090938 
5,29,1.02,12029.842826 
5,30,1.02,12030.302355 
5,31,1.02,12035.769584 
5,32,1.03,12028.883713 
5,33,1.02,12037.421500 
5,34,1.02,12037.540545 
5,35,1.02,12035.316070 
5,36,1.02,12030.471072 
5,37,1.02,12029.465267 
5,38,1.02,12033.285325 
5,39,1.02,12036.430617 
5,40,1.02,12027.282319 
5,41,1.03,12031.285800 
5,42,1.02,12033.946086 
5,43,1.02,12027.825171 
5,44,1.02,12036.554469 
5,45,1.02,12022.251224 
5,46,1.02,12032.015453 
5,47,1.02,12034.592448 
5,48,1.02,12030.594800 
5,49,1.02,12027.010911 
5,50,1.02,12030.115968 
5,51,1.02,12030.143283 
5,52,1.02,12034.192081 
5,53,1.02,12030.228442 
5,54,1.02,12033.553801 
5,55,1.02,12035.817832 
6,0,1.03,12042.542586 
6,1,1.02,12041.491297 
6,2,1.02,12030.794057 
6,3,1.02,12038.190511 
6,4,1.02,12040.507793 
6,5,1.02,12035.618409 
6,7,1.02,12041.294906 
6,8,1.02,12031.567044 
6,9,1.02,12038.681250 
6,10,1.02,12022.902749 
6,11,1.02,12038.591144 
6,12,1.02,12035.111839 
6,13,1.02,12036.276209 
6,14,1.01,12038.636197 
6,15,1.02,12033.585954 
6,16,1.02,12026.511489 
6,17,1.02,12038.036058 
6,18,1.01,12036.104112 
6,19,1.01,12029.262841 
6,20,1.02,12037.407022 
6,21,1.02,12031.774369 
6,22,1.01,12041.784287 
6,23,1.02,12030.551415 
6,24,1.02,12039.957357 
6,25,1.02,12030.133642 
6,26,1.02,12039.532495 
6,27,1.02,12037.167329 
6,28,1.02,12027.619588 
6,29,1.02,12030.826196 
6,30,1.02,12039.711126 
6,31,1.02,12045.480082 
6,32,1.02,12035.430249 
6,33,1.02,12042.222189 
6,34,1.02,12023.552740 
6,35,1.02,12033.704924 
6,36,1.03,12028.580106 
6,37,1.02,12031.182949 
6,38,1.02,12035.008922 
6,39,1.02,12041.040571 
6,40,1.02,12040.240616 
6,41,1.02,12034.206552 
6,42,1.02,12038.930657 
6,43,1.01,12034.798269 
6,44,1.02,12037.101376 
6,45,1.02,12029.592189 
6,46,1.01,12036.429009 
6,47,1.02,12035.094150 
6,48,1.02,12035.007314 
6,49,1.02,12036.141105 
6,50,1.02,12033.886599 
6,51,1.02,12039.495482 
6,52,1.02,12030.340918 
6,53,1.02,12042.344550 
6,54,1.01,12038.373930 
6,55,1.02,12029.341562 
7,0,1.02,12040.997110 
7,1,1.02,12037.016119 
7,2,1.02,12042.086951 
7,3,1.02,12040.366155 
7,4,1.02,12047.511723 
7,5,1.02,12036.739446 
7,6,1.02,12043.664914 
7,8,1.01,12038.388411 
7,9,1.02,12046.775355 
7,10,1.01,12037.551807 
7,11,1.02,12036.993599 
7,12,1.02,12039.986326 
7,13,1.02,12043.268774 
7,14,1.01,12039.772281 
7,15,1.01,12042.532925 
7,16,1.02,12042.111101 
7,17,1.02,12043.318693 
7,18,1.01,12038.354623 
7,19,1.01,12041.661938 
7,20,1.01,12040.454678 
7,21,1.02,12037.365195 
7,22,1.01,12042.618260 
7,23,1.01,12040.813612 
7,24,1.02,12038.399674 
7,25,1.02,12045.597676 
7,26,1.01,12046.876862 
7,27,1.02,12045.973026 
7,28,1.01,12038.587926 
7,29,1.02,12046.287179 
7,30,1.02,12047.419873 
7,31,1.02,12048.235287 
7,32,1.02,12040.465945 
7,33,1.01,12035.354665 
7,34,1.02,12041.884100 
7,35,1.02,12042.703596 
7,36,1.02,12043.407259 
7,37,1.02,12046.464400 
7,38,1.02,12043.003085 
7,39,1.02,12043.806629 
7,40,1.02,12035.936846 
7,41,1.02,12049.477959 
7,42,1.02,12034.975153 
7,43,1.01,12040.309823 
7,44,1.02,12044.122278 
7,45,1.01,12040.618851 
7,46,1.02,12038.089151 
7,47,1.02,12041.441394 
7,48,1.02,12038.750439 
7,49,1.02,12045.443033 
7,50,1.01,12044.175425 
7,51,1.02,12041.834194 
7,52,1.01,12043.862994 
7,53,1.02,12043.763148 
7,54,1.02,12038.130982 
7,55,1.02,12041.116227 
8,0,1.02,12042.967661 
8,1,1.02,12040.841780 
8,2,1.02,12041.452662 
8,3,1.01,12048.042704 
8,4,1.02,12042.287394 
8,5,1.02,12040.157729 
8,6,1.02,12044.679537 
8,7,1.01,12042.792153 
8,9,1.02,12045.404372 
8,10,1.01,12048.109584 
8,11,1.02,12038.398065 
8,12,1.01,12046.311345 
8,13,1.02,12043.210805 
8,14,1.01,12047.721209 
8,15,1.01,12043.929827 
8,16,1.01,12036.827112 
8,17,1.02,12057.103996 
8,18,1.01,12045.202215 
8,19,1.01,12039.934826 
8,20,1.01,12043.179405 
8,21,1.01,12043.701953 
8,22,1.02,12045.530019 
8,23,1.02,12046.913921 
8,24,1.02,12039.765039 
8,25,1.02,12045.732188 
8,26,1.01,12044.326010 
8,27,1.01,12041.118641 
8,28,1.01,12052.144684 
8,29,1.02,12048.671241 
8,30,1.01,12050.784571 
8,31,1.02,12040.948821 
8,32,1.02,12040.186699 
8,33,1.02,12045.965777 
8,34,1.02,12046.384650 
8,35,1.02,12043.627070 
8,36,1.02,12038.580685 
8,37,1.02,12038.602407 
8,38,1.02,12048.381139 
8,39,1.02,12042.967661 
8,40,1.02,12039.723196 
8,41,1.02,12042.224604 
8,42,1.02,12041.509810 
8,43,1.01,12041.062302 
8,44,1.01,12044.112615 
8,45,1.01,12042.520045 
8,46,1.01,12048.635783 
8,47,1.02,12042.186769 
8,48,1.02,12038.373126 
8,49,1.02,12040.687258 
8,50,1.01,12039.971842 
8,51,1.02,12049.209578 
8,52,1.02,12003.650797 
8,53,1.01,12045.775683 
8,54,1.01,12044.149657 
8,55,1.01,12045.095099 
9,0,1.02,12027.776987 
9,1,1.01,12048.007250 
9,2,1.02,12036.680736 
9,3,1.01,12039.814124 
9,4,1.02,12045.087850 
9,5,1.02,12037.414261 
9,6,1.02,12042.110296 
9,7,1.02,12045.513911 
9,8,1.02,12039.523644 
9,10,1.02,12038.138222 
9,11,1.02,12039.949311 
9,12,1.02,12026.545210 
9,13,1.02,12039.445595 
9,14,1.01,12039.035250 
9,15,1.01,12039.907467 
9,16,1.01,12038.085128 
9,17,1.02,12044.454050 
9,18,1.01,12040.538374 
9,19,1.02,12036.681540 
9,20,1.02,12042.595719 
9,21,1.01,12041.684476 
9,22,1.01,12040.840975 
9,23,1.02,12042.299469 
9,24,1.02,12040.352475 
9,25,1.02,12040.742789 
9,26,1.02,12045.778099 
9,27,1.01,12040.078063 
9,28,1.02,12044.259172 
9,29,1.02,12039.284672 
9,30,1.01,12046.727019 
9,31,1.02,12038.135809 
9,32,1.02,12031.942323 
9,33,1.02,12042.749484 
9,34,1.02,12038.692513 
9,35,1.02,12047.464186 
9,36,1.02,12037.600069 
9,37,1.02,12031.473830 
9,38,1.02,12043.332380 
9,39,1.02,12033.204142 
9,40,1.02,12040.528716 
9,41,1.02,12039.312833 
9,42,1.02,12033.688043 
9,43,1.02,12037.892870 
9,44,1.02,12048.187745 
9,45,1.02,12043.442686 
9,46,1.01,12040.531936 
9,47,1.02,12043.912112 
9,48,1.02,12043.234154 
9,49,1.02,12045.033890 
9,50,1.02,12046.383038 
9,51,1.02,12044.230183 
9,52,1.01,12042.879101 
9,53,1.02,12039.744118 
9,54,1.01,12041.700574 
9,55,1.02,12049.552108 
10,0,1.02,12039.670089 
10,1,1.02,12045.381821 
10,2,1.02,12045.776488 
10,3,1.02,12044.751211 
10,4,1.02,12043.219661 
10,5,1.02,12043.563461 
10,6,1.02,12037.676485 
10,7,1.02,12042.813890 
10,8,1.01,12042.743849 
10,9,1.02,12047.775193 
10,11,1.02,12046.167154 
10,12,1.02,12042.781687 
10,13,1.02,12047.396508 
10,14,1.01,12040.164972 
10,15,1.01,12033.541743 
10,16,1.02,12039.386053 
10,17,1.02,12040.136002 
10,18,1.01,12042.668173 
10,19,1.01,12041.074375 
10,20,1.01,12043.276826 
10,21,1.02,12043.230128 
10,22,1.01,12035.945691 
10,23,1.01,12041.554080 
10,24,1.02,12041.263516 
10,25,1.02,12033.208161 
10,26,1.01,12042.388020 
10,27,1.02,12042.397681 
10,28,1.01,12036.008416 
10,29,1.02,12041.877661 
10,30,1.01,12044.663431 
10,31,1.02,12045.633922 
10,32,1.02,12036.020478 
