
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                       9.00
2                       9.13
4                       9.48
8                       9.95
16                     11.50
32                     15.69
64                     21.25
128                    32.56
256                    54.02
512                   101.65
1024                  100.29
2048                  121.21
4096                  180.64
8192                  338.45
16384                 680.51
32768                1366.28
65536                3123.63
131072              12307.27
262144              24856.33
524288              49469.45
1048576             98909.14
