
# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                       9.50
8                       9.04
16                      8.66
32                      9.55
64                     10.25
128                    11.58
256                    12.17
512                    13.83
1024                   19.73
2048                   26.54
4096                   42.23
8192                   75.82
16384                 121.70
32768                 143.32
65536                 196.91
131072                257.57
262144                411.63
524288                900.63
1048576              1639.19
