
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      25.94
2                      26.05
4                      26.68
8                      27.61
16                     29.88
32                     34.27
64                     42.79
128                    59.77
256                   126.82
512                   166.48
1024                  264.46
2048                  494.40
4096                  894.86
8192                 1686.77
16384                3194.70
32768                6350.89
65536               12625.51
131072              25104.51
262144              52405.92
524288             105117.23
1048576            211404.66
