# OSU MPI Bi-Directional Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                      10.64
2                      20.43
4                      43.67
8                      83.86
16                    162.55
32                    311.75
64                    566.92
128                  1105.70
256                   814.58
512                  2723.45
1024                 4082.89
2048                 8457.77
4096                 9764.99
8192                10543.09
16384               10914.82
32768               11065.84
65536               11174.99
131072              11372.80
262144              11470.59
524288              11516.10
1048576             11544.82
2097152             11559.95
4194304             11567.02
