# OSU MPI Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                       6.16
2                      12.43
4                      24.79
8                      49.54
16                     98.87
32                    197.26
64                    371.23
128                   744.91
256                  1356.56
512                  2517.50
1024                 3813.91
2048                 4584.16
4096                 5094.90
8192                 5438.97
16384                5582.87
32768                5645.66
65536                5720.02
131072               5747.61
262144               5766.91
524288               5776.00
1048576              5781.95
2097152              5783.42
4194304              5785.05
