# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       1.44
1                       1.45
2                       1.44
4                       1.44
8                       1.44
16                      1.44
32                      1.49
64                      1.54
128                     1.59
256                     1.82
512                     1.97
1024                    2.16
2048                    2.75
4096                    3.45
8192                    4.80
16384                   6.35
32768                   9.07
65536                  14.83
131072                 26.30
262144                 50.61
524288                 96.39
1048576               186.98
2097152               368.22
4194304               730.49
