# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.3
# [ pairs: 56 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      33.07       33070375.86
2                      65.49       32743693.15
4                     121.47       30367986.05
8                     250.29       31286402.69
16                    492.49       30780508.52
32                    959.78       29993194.07
64                   1225.86       19153996.40
128                  1658.87       12959931.15
256                  4203.67       16420590.08
512                  5001.29        9768148.47
1024                 5158.42        5037517.21
2048                 5423.69        2648284.75
4096                 5533.93        1351056.89
8192                 5600.22         683620.56
16384                5623.58         343236.18
32768                5609.03         171173.91
65536                5659.59          86358.47
131072               5666.91          43235.07
262144               5670.85          21632.56
524288               5669.29          10813.31
1048576              5670.33           5407.65
2097152              5670.10           2703.71
4194304              5673.16           1352.59
