# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.3
# [ pairs: 8 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      45.40       45398315.80
2                      94.39       47196395.65
4                     188.18       47045295.58
8                     372.72       46590520.83
16                    665.87       41616896.92
32                   1213.67       37927322.31
64                   2082.89       32545220.29
128                  3278.92       25616549.77
256                  4551.00       17777351.20
512                  5277.68       10307969.81
1024                 5346.64        5221326.44
2048                 5562.89        2716253.00
4096                 5689.65        1389074.77
8192                 5737.40         700366.75
16384                5740.96         350400.49
32768                5730.17         174870.86
65536                5769.56          88036.48
131072               5778.37          44085.45
262144               5769.67          22009.55
524288               5770.71          11006.75
1048576              5779.70           5511.95
2097152              5783.54           2757.81
4194304              5786.21           1379.54
