[0] MPI startup(): I_MPI_OFA_TRANSLATION_CACHE variable has been removed from the product, its value is ignored

src,dst,lat(us),bandwidth((Mbytes/sec)
0,1,1.47,5725.416725 
0,2,1.48,5726.565536 
0,3,1.47,5726.449032 
0,4,1.47,5727.368084 
0,5,1.46,5726.977342 
0,6,1.47,5727.010478 
0,7,1.47,5726.807660 
0,8,1.46,5726.320884 
0,9,1.46,5727.139022 
0,10,1.46,5726.218223 
0,11,1.45,5727.250819 
0,12,1.46,5725.945572 
0,13,1.47,5724.695132 
0,14,1.47,5726.534225 
0,15,1.46,5725.921184 
0,16,1.47,5726.889223 
0,17,1.47,5725.951760 
0,18,1.48,5726.013641 
0,19,1.47,5725.830186 
0,20,1.48,5726.642358 
0,21,1.47,5725.644922 
0,22,1.48,5725.046263 
0,23,1.51,5724.916357 
0,24,1.49,5725.380696 
0,25,1.48,5724.989860 
0,26,1.49,5725.478231 
0,27,1.48,5724.930184 
0,28,1.48,5726.967874 
0,29,1.48,5725.024065 
0,30,1.48,5726.807660 
0,31,1.48,5725.919364 
0,32,1.55,5724.173064 
0,33,1.46,5725.621628 
0,34,1.47,5726.734111 
0,35,1.47,5726.496361 
0,36,1.46,5725.989617 
0,37,1.46,5725.704612 
0,38,1.46,5726.818220 
0,39,1.46,5727.322197 
0,40,1.46,5724.667844 
0,41,1.46,5725.853481 
0,42,1.47,5725.564487 
0,43,1.47,5727.083307 
0,44,1.47,5725.590327 
0,45,1.46,5727.351332 
0,46,1.47,5726.676219 
0,47,1.47,5727.521045 
0,48,1.48,5725.268607 
0,49,1.47,5727.106612 
0,50,1.48,5726.516385 
0,51,1.48,5725.642738 
0,52,1.48,5726.446848 
0,53,1.47,5726.317243 
0,54,1.49,5725.494972 
0,55,1.48,5726.909978 
1,0,1.46,5725.984885 
1,2,1.46,5729.039811 
1,3,1.45,5729.320409 
1,4,1.46,5729.015032 
1,5,1.46,5729.634203 
1,6,1.46,5728.438984 
1,7,1.46,5728.029882 
1,8,1.45,5727.871066 
1,9,1.45,5728.625886 
1,10,1.46,5729.438852 
1,11,1.46,5727.590245 
1,12,1.46,5727.475884 
1,13,1.46,5728.637181 
1,14,1.46,5729.258457 
1,15,1.45,5728.813529 
1,16,1.46,5728.309289 
1,17,1.46,5727.960672 
1,18,1.46,5728.597468 
1,19,1.47,5728.879845 
1,20,1.47,5727.634315 
1,21,1.48,5727.719179 
1,22,1.47,5728.142443 
1,23,1.47,5729.218370 
1,24,1.47,5727.541805 
1,25,1.47,5727.852489 
1,26,1.47,5727.876530 
1,27,1.47,5726.142504 
1,28,1.47,5728.980415 
1,29,1.46,5729.209260 
1,30,1.47,5728.980415 
1,31,1.47,5727.994913 
1,32,1.53,5726.907793 
1,33,1.45,5728.506748 
1,34,1.46,5728.067038 
1,35,1.46,5728.090351 
1,36,1.45,5728.090351 
1,37,1.44,5728.698392 
1,38,1.46,5729.025964 
1,39,1.45,5729.376533 
1,40,1.45,5727.866695 
1,41,1.45,5727.429268 
1,42,1.46,5729.204158 
1,43,1.45,5727.795303 
1,44,1.46,5728.859805 
1,45,1.46,5729.395848 
1,46,1.46,5729.211446 
1,47,1.46,5728.310746 
1,48,1.47,5727.649612 
1,49,1.47,5727.677293 
1,50,1.47,5727.699146 
1,51,1.47,5727.734476 
1,52,1.47,5727.614283 
1,53,1.47,5728.979686 
1,54,1.48,5727.705702 
1,55,1.47,5727.790204 
2,0,1.46,5726.324524 
2,1,1.45,5727.297069 
2,3,1.47,5728.004019 
2,4,1.45,5728.814623 
2,5,1.45,5729.502631 
2,6,1.45,5727.387022 
2,7,1.45,5727.625574 
2,8,1.44,5728.757417 
2,9,1.44,5728.734827 
2,10,1.45,5728.869643 
2,11,1.45,5728.195265 
2,12,1.46,5727.849940 
2,13,1.45,5726.450488 
2,14,1.46,5728.838307 
2,15,1.46,5728.965110 
2,16,1.46,5727.707159 
2,17,1.46,5728.220036 
2,18,1.46,5727.399404 
2,19,1.46,5727.942459 
2,20,1.47,5727.535978 
2,21,1.47,5727.378281 
2,22,1.47,5726.781808 
2,23,1.47,5726.921630 
2,24,1.47,5728.383972 
2,25,1.47,5728.490718 
2,26,1.47,5727.852489 
2,27,1.47,5726.406437 
2,28,1.47,5727.382287 
2,29,1.47,5727.042887 
2,30,1.47,5727.719543 
2,31,1.47,5726.915804 
2,32,1.53,5727.420527 
2,33,1.46,5727.487903 
2,34,1.46,5728.520229 
2,35,1.46,5729.064225 
2,36,1.45,5727.338221 
2,37,1.45,5727.449662 
2,38,1.45,5727.730834 
2,39,1.45,5728.536624 
2,40,1.45,5727.517039 
2,41,1.45,5727.627395 
2,42,1.46,5728.934502 
2,43,1.45,5727.049077 
2,44,1.46,5726.912163 
2,45,1.46,5728.501648 
2,46,1.46,5727.662360 
2,47,1.46,5727.714808 
2,48,1.47,5727.750502 
2,49,1.46,5727.487175 
2,50,1.47,5727.729377 
2,51,1.47,5727.721000 
2,52,1.47,5727.440193 
2,53,1.47,5727.360800 
2,54,1.48,5727.230062 
2,55,1.47,5727.387022 
3,0,1.47,5727.526508 
3,1,1.46,5727.654711 
3,2,1.46,5726.979891 
3,4,1.45,5728.423318 
3,5,1.45,5728.160657 
3,6,1.45,5727.789476 
3,7,1.45,5728.467401 
3,8,1.45,5725.424732 
3,9,1.44,5728.307103 
3,10,1.45,5727.259924 
3,11,1.45,5727.431817 
3,12,1.45,5727.246449 
3,13,1.45,5727.485718 
3,14,1.45,5728.080880 
3,15,1.45,5727.535613 
3,16,1.46,5727.455125 
3,17,1.46,5728.169400 
3,18,1.46,5727.374639 
3,19,1.46,5727.469693 
3,20,1.47,5726.468328 
3,21,1.47,5726.874658 
3,22,1.47,5727.419070 
3,23,1.46,5727.327660 
3,24,1.47,5726.354376 
3,25,1.47,5727.039973 
3,26,1.47,5726.834605 
3,27,1.47,5727.261744 
3,28,1.47,5727.411786 
3,29,1.46,5726.209486 
3,30,1.47,5726.999190 
3,31,1.47,5728.034982 
3,32,1.54,5725.622720 
3,33,1.46,5727.651433 
3,34,1.46,5727.144484 
3,35,1.46,5727.757787 
3,36,1.46,5727.116080 
3,37,1.45,5726.922358 
3,38,1.46,5728.726811 
3,39,1.45,5727.366627 
3,40,1.46,5726.932918 
3,41,1.45,5727.866331 
3,42,1.45,5727.849211 
3,43,1.45,5728.213479 
3,44,1.46,5727.775270 
3,45,1.46,5727.066192 
3,46,1.46,5727.322197 
3,47,1.46,5727.544719 
3,48,1.47,5727.653618 
3,49,1.46,5727.760701 
3,50,1.48,5727.876165 
3,51,1.48,5727.695504 
3,52,1.48,5727.923882 
3,53,1.47,5727.906398 
3,54,1.48,5726.816035 
3,55,1.48,5726.836789 
4,0,1.45,5728.547554 
4,1,1.45,5729.772705 
4,2,1.45,5728.883853 
4,3,1.45,5729.327334 
4,5,1.45,5728.731548 
4,6,1.44,5729.439217 
4,7,1.44,5729.658987 
4,8,1.45,5728.175229 
4,9,1.44,5728.556662 
4,10,1.45,5729.451972 
4,11,1.44,5728.692198 
4,12,1.45,5728.724261 
4,13,1.45,5727.240987 
4,14,1.45,5729.114148 
4,15,1.46,5729.065318 
4,16,1.46,5728.422590 
4,17,1.45,5727.898020 
4,18,1.46,5728.326412 
4,19,1.45,5727.590609 
4,20,1.47,5728.398545 
4,21,1.46,5728.681631 
4,22,1.47,5728.026968 
4,23,1.46,5728.265209 
4,24,1.46,5727.031234 
4,25,1.47,5727.641963 
4,26,1.47,5728.178143 
4,27,1.46,5727.023587 
4,28,1.46,5728.304918 
4,29,1.46,5728.514399 
4,30,1.46,5728.961102 
4,31,1.46,5727.313093 
4,32,1.53,5726.821861 
4,33,1.45,5727.727556 
4,34,1.45,5728.518407 
4,35,1.45,5727.945009 
4,36,1.44,5728.847051 
4,37,1.44,5729.080623 
4,38,1.44,5729.448692 
4,39,1.44,5726.806204 
4,40,1.45,5727.315642 
4,41,1.44,5729.886064 
4,42,1.45,5728.895513 
4,43,1.44,5728.478331 
4,44,1.46,5727.285051 
4,45,1.45,5729.018676 
4,46,1.45,5726.573182 
4,47,1.45,5727.783284 
4,48,1.46,5729.018676 
4,49,1.45,5727.830635 
4,50,1.47,5728.796404 
4,51,1.46,5728.354828 
4,52,1.47,5728.582165 
4,53,1.46,5727.196195 
4,54,1.47,5727.444928 
4,55,1.47,5727.365535 
5,0,1.45,5726.968967 
5,1,1.45,5728.360656 
5,2,1.45,5729.681949 
5,3,1.45,5730.357771 
5,4,1.44,5730.339178 
5,6,1.45,5729.127267 
5,7,1.44,5729.322596 
5,8,1.44,5728.561763 
5,9,1.44,5729.968443 
5,10,1.45,5728.296903 
5,11,1.45,5729.544908 
5,12,1.45,5729.319681 
5,13,1.45,5728.972398 
5,14,1.46,5728.061209 
5,15,1.45,5730.451830 
5,16,1.46,5727.692590 
5,17,1.45,5728.844136 
5,18,1.46,5728.632809 
5,19,1.45,5728.547554 
